johnhickman@Johns-iMac streaming-02-multiple-processes %  /usr/bin/env /opt/home
brew/bin/python3 /Users/johnhickman/.vscode/extensions/ms-python.python-2023.14.
0/pythonFiles/lib/python/debugpy/adapter/../../debugpy/launcher 54624 -- /Users/
johnhickman/streaming-02-multiple-processes/process_streaming_0.py 
2023-09-03 14:35:33,784 - INFO - ===============================================
2023-09-03 14:35:33,784 - INFO - Starting fake streaming process.
2023-09-03 14:35:33,784 - INFO - Starting to stream data from batchfile_0_farenheit.csv to ('localhost', 9999).
2023-09-03 14:35:33,784 - INFO - Opened for reading: batchfile_0_farenheit.csv.
2023-09-03 14:35:33,785 - INFO - Skipped header row: ['\ufeffYear', 'Month', 'Day', 'Time', 'TempF']
2023-09-03 15:07:14,173 - INFO - Sent: b'[2023, 1, 2, 11:35, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 15:07:17,179 - INFO - Sent: b'[2023, 1, 2, 11:15, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 15:07:20,185 - INFO - Sent: b'[2023, 1, 2, 10:55, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 15:07:23,190 - INFO - Sent: b'[2023, 1, 2, 10:35, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 15:07:26,195 - INFO - Sent: b'[2023, 1, 2, 10:15, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 15:07:29,201 - INFO - Sent: b'[2023, 1, 2, 9:55, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 15:07:32,207 - INFO - Sent: b'[2023, 1, 2, 9:35, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 15:07:35,210 - INFO - Sent: b'[2023, 1, 2, 9:15, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 15:07:38,216 - INFO - Sent: b'[2023, 1, 2, 8:55, 18]' on port 9999. Hit CTRL-c to stop.
johnhickman@Johns-iMac streaming-02-multiple-processes % 
